FrameNo,Coordinates
1,"[189.0, 93.0, 241.0, 242.0]"
2,"[189.0, 93.0, 243.0, 242.0]"
3,"[189.0, 92.0, 245.0, 243.0]"
4,"[189.0, 92.0, 245.0, 242.0]"
5,"[189.0, 92.0, 246.0, 243.0]"
