FrameNo,Coordinates
1,"[294.0, 0.0, 388.0, 240.0]"
2,"[294.0, 0.0, 388.0, 240.0]"
3,"[295.0, 0.0, 390.0, 239.0]"
4,"[295.0, 0.0, 390.0, 239.0]"
5,"[297.0, 0.0, 391.0, 239.0]"
6,"[298.0, 0.0, 391.0, 239.0]"
7,"[300.0, 1.0, 391.0, 239.0]"
8,"[303.0, 2.0, 391.0, 239.0]"
9,"[304.0, 2.0, 392.0, 239.0]"
